id sire dam sibgroup YC
2006NOS1CBN0000G2P20069 2002NOS1CBN0G1P2LILLA34 2002NOS1CBN000G1P211942 S1CBN 2006
2006NOS1CBN0000G2P20072 2002NOS1CBNG1P2GROENN13 2002NOS1CBN000G1P210691 S1CBN 2006
2006NOS1CBN0000G2P20262 2002NOS1CBNG1P2GROENN20 2002NOS1CBN000G1P212946 S1CBN 2006
2006NOS1CBN0000G2P20284 2002NOS1CBNG1P2ORANGE18 2002NOS1CBN000G1P213101 S1CBN 2006
2006NOS1CBN0000G2P20349 2002NOS1CBN0G1P2GROENN2 2002NOS1CBN000G1P213705 S1CBN 2006
2006NOS1CBN0000G2P20406 2002NOS1CBN00G1P2KVIT33 2002NOS1CBN000G1P213375 S1CBN 2006
2006NOS1CBN0000G2P20492 2002NOS1CBN000G1P2KVIT3 2002NOS1CBN000G1P212414 S1CBN 2006
2006NOS1CBN0000G2P20559 2002NOS1CBNG1P2ORANGE16 2002NOS1CBN000G1P219743 S1CBN 2006
2006NOS1CBN0000G2P20577 2002NOS1CBN000G1P2KVIT3 2002NOS1CBN000G1P215418 S1CBN 2006
2006NOS1CBN0000G2P20597 2002NOS1CBN00G1P2KVIT18 2002NOS1CBN000G1P212854 S1CBN 2006
2006NOS1CBN0000G2P20635 2002NOS1CBNG1P2ORANGE12 2002NOS1CBN000G1P216989 S1CBN 2006
2006NOS1CBN0000G2P20637 2002NOS1CBNG1P2GROENN41 2002NOS1CBN000G1P213683 S1CBN 2006
2006NOS1CBN0000G2P20648 2002NOS1CBNG1P2ORANGE12 2002NOS1CBN000G1P216989 S1CBN 2006
2006NOS1CBN0000G2P20684 2002NOS1CBN00G1P2KVIT33 2002NOS1CBN000G1P213375 S1CBN 2006
2006NOS1CBN0000G2P20701 2002NOS1CBN00G1P2BLAA42 2002NOS1CBN000G1P216550 S1CBN 2006
2006NOS1CBN0000G2P20709 2002NOS1CBNG1P2ORANGE21 2002NOS1CBN000G1P214925 S1CBN 2006
2006NOS1CBN0000G2P20710 2002NOS1CBN00G1P2KVIT33 2002NOS1CBN000G1P218677 S1CBN 2006
